               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.041878,            0.021666,                   0,             0.93669,             0.81197,             0.89922,             0.59464,            0.039254,            0.013325,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.041246,            0.020322,                   0,             0.94407,             0.82051,             0.89964,             0.58392,            0.039155,            0.012756,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.040986,            0.020696,                   0,             0.91246,             0.80185,             0.89284,             0.58355,            0.037305,            0.012827,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041451,            0.019813,                   0,             0.88879,             0.86325,             0.91004,             0.60205,            0.036877,            0.013132,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.040168,            0.020083,                   0,             0.90236,             0.86888,             0.91056,             0.59203,             0.03836,            0.012968,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.039238,            0.019724,                   0,              0.9517,             0.82906,             0.91535,             0.61804,            0.036984,            0.012674,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.039674,            0.019564,                   0,             0.96593,             0.82906,             0.91407,             0.66722,            0.033666,             0.01178,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.037893,            0.019048,                   0,             0.93274,             0.82965,             0.92175,             0.63415,            0.034968,            0.012953,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.037791,            0.018448,                   0,             0.92295,             0.82051,             0.90664,             0.57641,            0.037671,            0.012678,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039038,            0.018991,                   0,             0.94064,             0.83761,             0.91415,              0.6223,            0.037375,            0.012386,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.037715,            0.018459,                   0,             0.96354,             0.83761,             0.92189,             0.64655,            0.034772,            0.012468,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.037111,            0.018265,                   0,             0.91104,             0.87537,             0.93349,             0.63444,            0.035297,            0.012012,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.036332,            0.018528,                   0,             0.93549,             0.86761,             0.92811,             0.64679,            0.036304,            0.011266,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03701,            0.018646,                   0,             0.92683,             0.87179,             0.93976,             0.61523,             0.03439,            0.011835,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.036183,            0.018241,                   0,             0.96173,             0.85916,             0.94108,             0.66741,            0.034119,             0.01174,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.035903,            0.017754,                   0,             0.96128,             0.88034,              0.9391,             0.65871,            0.034829,            0.011581,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.035484,            0.017516,                   0,             0.91119,             0.86325,             0.93183,              0.6583,            0.034831,            0.011454,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.035104,             0.01801,                   0,             0.92113,             0.88034,             0.94209,             0.64451,             0.03447,            0.011695,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.035608,            0.018029,                   0,             0.93474,             0.86325,             0.95108,             0.66757,            0.034042,            0.011377,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034988,            0.017591,                   0,              0.9146,             0.91533,             0.95126,              0.6792,            0.033291,            0.011634,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.033719,            0.017745,                   0,              0.9103,             0.88034,             0.94263,             0.65635,            0.034953,            0.011872,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033831,            0.017399,                   0,             0.95284,              0.8634,             0.94448,             0.65755,            0.033391,            0.011005,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.033937,            0.016893,                   0,             0.88142,             0.88889,             0.93552,             0.67252,            0.032033,            0.010891,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.03464,            0.017629,                   0,              0.9624,             0.87516,             0.94684,             0.68357,             0.03254,            0.010865,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.031957,            0.016381,                   0,             0.89893,             0.91453,             0.95202,             0.69985,            0.032002,            0.011047,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032441,            0.016942,                   0,             0.99048,             0.88884,             0.95763,             0.66311,            0.031688,            0.011439,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.031728,            0.017011,                   0,             0.92727,             0.92308,             0.96207,             0.67823,            0.031509,            0.010564,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032616,            0.016134,                   0,             0.98345,             0.88889,             0.95283,             0.68422,            0.032519,            0.011031,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.032169,            0.016558,                   0,             0.96599,             0.88889,             0.95928,              0.7007,            0.031533,             0.01087,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.032526,            0.017361,                   0,             0.93874,             0.91677,             0.95595,             0.70876,             0.03171,            0.010882,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.032067,             0.01685,                   0,             0.93422,             0.90598,             0.94863,             0.69368,            0.030822,            0.011119,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.032544,            0.015969,                   0,             0.93576,             0.90598,             0.96344,             0.70442,            0.031591,            0.010741,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.032716,            0.016234,                   0,             0.98148,             0.90606,              0.9686,              0.7013,             0.03032,             0.01135,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031788,            0.015822,                   0,             0.95587,             0.88889,             0.96601,             0.68931,            0.031033,            0.010787,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.031278,            0.016339,                   0,             0.94495,             0.90598,              0.9697,             0.70138,            0.030342,            0.011129,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.031982,            0.016096,                   0,             0.95837,             0.93162,             0.97635,              0.7184,            0.028933,            0.010232,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.030047,            0.016005,                   0,             0.99056,             0.89643,             0.96469,             0.71439,            0.030848,            0.010279,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.030759,            0.015494,                   0,             0.90318,             0.95676,             0.97294,             0.70907,            0.028425,            0.010038,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.031142,             0.01533,                   0,             0.94089,             0.95229,             0.98095,             0.70768,            0.028688,           0.0098419,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.031055,            0.016402,                   0,             0.94198,             0.94872,             0.97498,             0.71921,            0.028557,            0.010496,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.031242,             0.01545,                   0,             0.95531,              0.9136,             0.96997,             0.73822,            0.028585,            0.010374,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.029398,            0.015283,                   0,                   1,             0.89339,             0.97867,             0.69322,            0.028722,            0.010886,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.03014,            0.015705,                   0,             0.93944,             0.92807,               0.976,             0.71396,            0.028234,            0.010514,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.029855,            0.015445,                   0,             0.97719,             0.86325,             0.95715,             0.71995,            0.028777,            0.010819,                   0,             0.00604,             0.00604,             0.00604
                  82,             0.02979,            0.015047,                   0,             0.96576,             0.96435,             0.97821,              0.7286,            0.028198,           0.0099303,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.028539,            0.015202,                   0,             0.96357,             0.90419,             0.97389,             0.70953,            0.029594,            0.010069,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.029158,            0.014927,                   0,             0.96392,             0.91326,             0.96912,             0.73622,            0.028207,            0.010259,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.029399,            0.014867,                   0,             0.97255,             0.90847,             0.97538,             0.72024,            0.028643,            0.010151,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.029313,            0.015002,                   0,              0.9568,             0.94657,             0.96489,             0.73887,            0.026875,           0.0095053,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.029633,            0.015118,                   0,             0.97292,             0.92122,             0.97536,             0.73126,            0.028716,           0.0096817,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.027922,            0.014831,                   0,              0.9522,             0.91453,             0.95682,             0.71654,            0.029755,            0.010101,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.029417,            0.014861,                   0,             0.91509,             0.94017,             0.96478,             0.70423,            0.029416,            0.010658,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.029283,            0.014455,                   0,             0.95536,             0.91449,             0.96933,             0.72063,            0.028391,           0.0097666,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.028053,            0.014856,                   0,             0.97341,             0.94017,             0.98228,             0.72654,            0.028145,           0.0091683,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.028256,            0.015053,                   0,              0.9687,             0.92308,             0.97531,             0.75112,            0.026358,            0.009258,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027471,            0.014544,                   0,              0.9682,             0.92308,             0.97163,             0.72976,            0.027648,           0.0095317,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.027833,             0.01481,                   0,              0.9726,             0.91021,              0.9785,              0.7559,            0.027212,           0.0093797,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.027595,             0.01479,                   0,             0.96797,             0.96581,             0.98366,             0.74742,            0.026404,           0.0090961,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.027466,            0.014105,                   0,             0.96076,             0.94872,             0.98052,             0.75125,            0.026899,           0.0091057,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.028038,            0.014353,                   0,              0.9486,             0.95726,              0.9786,             0.74458,            0.027375,           0.0092929,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.026832,            0.014312,                   0,             0.94455,             0.89744,             0.96376,               0.732,            0.028037,           0.0088851,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.02683,            0.013962,                   0,             0.97313,             0.92857,             0.98179,             0.76435,            0.026129,           0.0089194,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.026152,            0.014357,                   0,             0.97508,             0.92308,             0.98263,             0.73592,            0.026448,           0.0093473,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.026173,            0.013654,                   0,             0.95614,             0.93153,             0.97897,             0.74354,            0.027156,            0.010198,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.026987,            0.014043,                   0,                   1,              0.9226,              0.9792,             0.75232,            0.027063,           0.0096496,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025435,            0.013524,                   0,             0.97118,             0.94872,             0.97234,             0.73772,            0.026708,           0.0098629,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.026221,            0.014257,                   0,             0.96963,             0.93162,             0.97699,             0.74733,             0.02777,           0.0096207,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.026521,             0.01376,                   0,              0.9298,             0.95726,             0.97008,             0.73002,            0.027062,           0.0096436,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.026341,            0.013778,                   0,             0.98114,             0.93162,             0.98477,             0.75164,            0.026722,           0.0096966,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026346,            0.014031,                   0,             0.93341,             0.95842,             0.98076,             0.73694,            0.027458,           0.0096331,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.025554,            0.013716,                   0,             0.95638,             0.93709,             0.97875,             0.75672,            0.026841,           0.0096108,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.02589,            0.013624,                   0,             0.96435,             0.94017,              0.9756,             0.75125,            0.027368,           0.0091473,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.025116,            0.013246,                   0,             0.96573,             0.96329,             0.98174,              0.7511,             0.02681,           0.0092084,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.026035,            0.013943,                   0,             0.94926,             0.94872,              0.9777,             0.75297,            0.027111,           0.0091333,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.025645,            0.013181,                   0,              0.9546,             0.95726,             0.98223,             0.75627,            0.026269,           0.0090815,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.025041,            0.012854,                   0,             0.91704,             0.94476,             0.97136,             0.76915,            0.026241,           0.0088863,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.025264,             0.01358,                   0,             0.97346,             0.94039,              0.9785,             0.75969,            0.026273,           0.0089242,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.024969,            0.013342,                   0,             0.93268,             0.96581,             0.96969,             0.75969,            0.025903,           0.0091457,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.024721,            0.012887,                   0,             0.93161,             0.93139,             0.96868,             0.75369,            0.026707,           0.0090723,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.025263,            0.013478,                   0,             0.96374,             0.92308,             0.98026,             0.76298,            0.026302,           0.0091899,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.023846,            0.013149,                   0,             0.96376,             0.92308,             0.97887,             0.75259,            0.026182,           0.0092859,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,               0.025,            0.013022,                   0,             0.90127,             0.96581,             0.97488,             0.75391,            0.025432,           0.0092379,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.024304,            0.013345,                   0,             0.94842,             0.94872,             0.97774,             0.75064,            0.026311,           0.0091937,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,             0.02516,            0.013691,                   0,             0.96281,             0.93162,             0.97824,             0.77127,            0.026626,           0.0090357,                   0,             0.00406,             0.00406,             0.00406
